"response","term","estimate","std.error","conf.low","conf.high","statistic","p.value","sig"
"log_Total_cells_ml [full global]","(Intercept)",6.3456,2.4554,1.5019,11.1894,2.5844,0.0105,"*"
"log_Total_cells_ml [full global]","LocationCalifornia",7.9973,2.5318,2.9986,12.9961,3.1588,0.0019,"**"
"log_Total_cells_ml [full global]","LocationPanama",4.9515,2.4557,0.107,9.796,2.0163,0.0452,"*"
"log_Total_cells_ml [full global]","temp_seasonality",0.0199,0.0097,8e-04,0.039,2.0509,0.0417,"*"
"log_Total_cells_ml [full global]","bd_detectedPositive",-0.0058,0.0104,-0.0263,0.0147,-0.5598,0.5761,""
"log_Total_cells_ml [full global]","body_temp_c",0.0152,0.0021,0.011,0.0193,7.1649,0,"***"
"log_Total_cells_ml [full global]","LocationCalifornia:temp_seasonality",-0.0208,0.0097,-0.04,-0.0016,-2.138,0.0338,"*"
"log_Total_cells_ml [full global]","LocationPanama:temp_seasonality",-0.017,0.0099,-0.0365,0.0026,-1.7141,0.0881,"."
"log_Total_cells_ml [full env-only]","(Intercept)",11.6578,0.2459,11.1633,12.1523,47.4028,0,"***"
"log_Total_cells_ml [full env-only]","LocationCalifornia",2.1485,0.3829,1.3785,2.9185,5.6105,0,"***"
"log_Total_cells_ml [full env-only]","LocationPanama",0.1407,0.1948,-0.2511,0.5325,0.7223,0.4736,""
"log_Total_cells_ml [full env-only]","temp_seasonality",3e-04,0.001,-0.0016,0.0023,0.3439,0.7324,""
"log_Total_cells_ml [full host-only]","(Intercept)",11.3846,0.0511,11.2839,11.4852,222.8368,0,"***"
"log_Total_cells_ml [full host-only]","LocationCalifornia",2.3527,0.0377,2.2758,2.4296,62.4222,0,"***"
"log_Total_cells_ml [full host-only]","LocationPanama",0.0783,0.0343,0.0081,0.1484,2.2839,0.03,"*"
"log_Total_cells_ml [full host-only]","bd_detectedPositive",-0.0026,0.0103,-0.023,0.0178,-0.2507,0.8022,""
"log_Total_cells_ml [full host-only]","body_temp_c",0.0148,0.0021,0.0106,0.0189,7.0203,0,"***"
"logit_Per_active [full global]","(Intercept)",1.7153,0.4707,0.7804,2.6502,3.6444,4e-04,"***"
"logit_Per_active [full global]","LocationCalifornia",0.2424,0.7386,-1.224,1.7089,0.3282,0.7435,""
"logit_Per_active [full global]","LocationPanama",-0.3304,0.376,-1.0771,0.4162,-0.8788,0.3818,""
"logit_Per_active [full global]","temp_seasonality",-0.0011,0.0019,-0.0048,0.0026,-0.6126,0.5417,""
"logit_Per_active [full global]","bd_detectedPositive",1.0203,0.0398,0.9419,1.0986,25.6447,0,"***"
"logit_Per_active [full global]","body_temp_c",-6e-04,0.0079,-0.0161,0.015,-0.0738,0.9412,""
"logit_Per_active [full env-only]","(Intercept)",1.0901,0.8357,-0.5691,2.7492,1.3043,0.1953,""
"logit_Per_active [full env-only]","LocationCalifornia",-1.0998,1.3013,-3.6831,1.4836,-0.8451,0.4002,""
"logit_Per_active [full env-only]","LocationPanama",0.6636,0.6593,-0.6457,1.9729,1.0065,0.3168,""
"logit_Per_active [full env-only]","temp_seasonality",0.0027,0.0033,-0.0039,0.0092,0.8041,0.4233,""
"logit_Per_active [full host-only]","(Intercept)",1.4467,0.1709,1.1098,1.7837,8.4647,0,"***"
"logit_Per_active [full host-only]","LocationCalifornia",-0.208,0.0682,-0.3439,-0.0722,-3.0519,0.0032,"**"
"logit_Per_active [full host-only]","LocationPanama",-0.1022,0.051,-0.207,0.0025,-2.0056,0.0554,"."
"logit_Per_active [full host-only]","bd_detectedPositive",1.0178,0.0395,0.94,1.0957,25.7425,0,"***"
"logit_Per_active [full host-only]","body_temp_c",-0.0015,0.0077,-0.0168,0.0137,-0.1975,0.8436,""
"log_Viable [full global]","(Intercept)",6.7616,3.5798,-0.2864,13.8096,1.8888,0.06,"."
"log_Viable [full global]","LocationCalifornia",1.432,5.6224,-9.6376,12.5015,0.2547,0.7992,""
"log_Viable [full global]","LocationPanama",1.3276,2.8626,-4.3082,6.9635,0.4638,0.6432,""
"log_Viable [full global]","temp_seasonality",3e-04,0.0142,-0.0277,0.0283,0.0206,0.9836,""
"log_Viable [full global]","bd_detectedPositive",-0.0123,0.3246,-0.6513,0.6267,-0.0379,0.9698,""
"log_Viable [full global]","body_temp_c",-0.0127,0.063,-0.1367,0.1113,-0.2016,0.8404,""
"log_Viable [full env-only]","(Intercept)",6.8895,3.6137,-0.2164,13.9954,1.9065,0.0574,"."
"log_Viable [full env-only]","LocationCalifornia",1.9993,5.6286,-9.0688,13.0673,0.3552,0.7226,""
"log_Viable [full env-only]","LocationPanama",0.9596,2.8487,-4.6421,6.5612,0.3368,0.7364,""
"log_Viable [full env-only]","temp_seasonality",-0.0012,0.0143,-0.0292,0.0269,-0.0822,0.9346,""
"log_Viable [full host-only]","(Intercept)",6.8299,1.3482,4.1755,9.4843,5.0658,0,"***"
"log_Viable [full host-only]","LocationCalifornia",1.5473,0.509,0.5452,2.5494,3.04,0.0026,"**"
"log_Viable [full host-only]","LocationPanama",1.2691,0.3434,0.593,1.9452,3.6954,3e-04,"***"
"log_Viable [full host-only]","bd_detectedPositive",-0.0117,0.3224,-0.6464,0.6231,-0.0361,0.9712,""
"log_Viable [full host-only]","body_temp_c",-0.0124,0.0615,-0.1336,0.1087,-0.202,0.8401,""
